사업장명,영업상태명,지번주소,도로명주소,위도,경도,행정동명
GS25 봉천탑골점,영업/정상,서울특별시 관악구 봉천동 738번지 10호 101호,"서울특별시 관악구 낙성대로3길 23, 101호 (봉천동)",37.4742341957731,126.960291250802,낙성대동
GS25 신림골드점,영업/정상,서울특별시 관악구 신림동 1651번지 11호,서울특별시 관악구 조원로 34 (신림동),37.4832465481286,126.90611622383,조원동
GS25 봉천근화점,영업/정상,서울특별시 관악구 봉천동 196번지 129호,서울특별시 관악구 낙성대역8길 1 (봉천동),37.4744769303203,126.96336690493,인헌동
코리아세븐 서울대서진점,영업/정상,서울특별시 관악구 봉천동 868번지 1호,"서울특별시 관악구 관악로17길 3 (봉천동, 서진빌딩)",37.4806435864637,126.951517874514,청룡동
세븐일레븐 관악대성점,영업/정상,서울특별시 관악구 남현동 1072-23,"서울특별시 관악구 남부순환로256라길 2, 1층 (남현동)",37.4728956039326,126.97405225484,남현동
씨유 뉴봉천역점,영업/정상,서울특별시 관악구 봉천동 927-3 제형빌딩,"서울특별시 관악구 남부순환로 1738, 제형빌딩 1층 (봉천동)",37.4819705833427,126.943018566503,청룡동
세븐일레븐 신림타임스트림점,영업/정상,서울특별시 관악구 신림동 1641-107,"서울특별시 관악구 신림로 328, 1층 (신림동)",37.4834547467373,126.929982893039,서원동
씨유 신림버디점,영업/정상,서울특별시 관악구 신림동 1516-2,"서울특별시 관악구 신림로 107, 1층 (신림동)",37.470531403239,126.937396243678,대학동
지에스(GS)25 인헌마루점,영업/정상,서울특별시 관악구 봉천동 180-205,"서울특별시 관악구 인헌길 141, 1층 (봉천동)",37.4695573963376,126.96862945703,인헌동
씨유 신화교힐스점,영업/정상,서울특별시 관악구 신림동 408-137 금호상가,"서울특별시 관악구 신림로31길 7, 금호상가 1층 (신림동)",37.4754709062234,126.935856982028,서림동
씨유 신림동보점,영업/정상,서울특별시 관악구 신림동 1464-65,"서울특별시 관악구 남부순환로 1561, 1층 (신림동)",37.4837614227021,126.923962002434,신사동
씨유 관악센트씨엘점,영업/정상,서울특별시 관악구 봉천동 1736-4,"서울특별시 관악구 양녕로16길 8, 1층 (봉천동)",37.489876940363,126.946113172855,성현동
씨유 뉴관악두산점,영업/정상,서울특별시 관악구 봉천동 902-18,서울특별시 관악구 은천로 80 (봉천동),37.4865575693932,126.944240302137,은천동
지에스(GS)25 관악대원점,영업/정상,서울특별시 관악구 봉천동 180-422 새진아파트,"서울특별시 관악구 인헌16길 47, 지하1층 (봉천동, 새진아파트)",37.4692648813505,126.965549488503,인헌동
GS25 봉천가온점,영업/정상,서울특별시 관악구 봉천동 890-13,"서울특별시 관악구 양녕로6길 12, 1층 (봉천동)",37.4845659947201,126.94741476299,중앙동
지에스(GS)25 관악보라매점,영업/정상,서울특별시 관악구 봉천동 702-108 동방파레스,"서울특별시 관악구 보라매로3길 17, 102호 (봉천동, 동방파레스)",37.4913182403557,126.926195745169,보라매동
세븐일레븐 봉천제일점,영업/정상,,서울특별시 관악구 남부순환로 1932 (봉천동),37.4768194334572,126.96355399757,인헌동
GS25 신림성화점,영업/정상,서울특별시 관악구 신림동 1587번지 2호,서울특별시 관악구 남부순환로 1578 (신림동),37.48351417723,126.925933989055,신원동
세븐일레븐 신림본점,영업/정상,서울특별시 관악구 신림동 1641번지 99호,서울특별시 관악구 신림로 270 (신림동),37.478998370514,126.932168278055,서원동
GS25 관악한빛점,영업/정상,,"서울특별시 관악구 봉천로 455, 101호 (봉천동)",37.4826577685701,126.950591940061,중앙동
세븐일레븐 신림허브그린점,영업/정상,서울특별시 관악구 신림동 1421번지 29호,서울특별시 관악구 신림로 344 (신림동),37.4851501707989,126.929977240424,신림동
GS25 봉천은천점,영업/정상,서울특별시 관악구 봉천동 911번지 1호,서울특별시 관악구 양녕로1길 19 (봉천동),37.4834779516158,126.945264921874,은천동
GS25 신림신성점,영업/정상,서울특별시 관악구 신림동 103번지 109호,"서울특별시 관악구 서림길 96 (신림동, 씨티원룸)",37.4719584205523,126.939290066141,서림동
CU 관악행운점,영업/정상,서울특별시 관악구 신림동 122번지 4호,서울특별시 관악구 신림로12길 13 (신림동),37.4716383059322,126.938274259858,서림동
CU 관악드림점,영업/정상,서울특별시 관악구 봉천동 1712번지,"서울특별시 관악구 성현로 80 (봉천동, 관악드림타운아파트)",37.4898474387668,126.952985510916,성현동
GS25 신림석류점,영업/정상,서울특별시 관악구 신림동 477번지 8호,서울특별시 관악구 신사로22길 48 (신림동),37.4871283564356,126.918100310522,신사동
씨유 보라매우리점,영업/정상,서울특별시 관악구 봉천동 968-44,"서울특별시 관악구 봉천로 275, 1층 (봉천동)",37.4879610378339,126.931968971051,보라매동
씨유 관악하늘점,영업/정상,서울특별시 관악구 봉천동 179-58 낙성대현대아파트,"서울특별시 관악구 인헌길 68, 낙성대현대아파트 B동 1층 (봉천동)",37.4723656704257,126.966353193028,인헌동
지에스25 신림로마점,영업/정상,서울특별시 관악구 신림동 10-401,"서울특별시 관악구 남부순환로194길 11, 1층 (신림동)",37.4841457679193,126.934935091162,서원동
씨유(CU) 서울대서연점,영업/정상,서울특별시 관악구 봉천동 1597-24 서울법학원,"서울특별시 관악구 관악로 132, 서울법학원 1층 (봉천동)",37.4770139973479,126.952720071703,낙성대동
씨유 신림역최강점,영업/정상,서울특별시 관악구 신림동 1745 최강타워,"서울특별시 관악구 남부순환로180길 6, 1층 105호 (신림동, 최강타워)",37.4837589483107,126.930629680819,서원동
지에스25 관악남현로점,영업/정상,서울특별시 관악구 남현동 1086-40,"서울특별시 관악구 남부순환로272길 42, 1층 (남현동)",37.4746738056249,126.978369300974,남현동
씨유 관악퍼스트점,영업/정상,서울특별시 관악구 봉천동 196-63,"서울특별시 관악구 낙성대역14길 3, 1층 (봉천동)",37.4738934262169,126.96451510215,인헌동
